dataset_snapshot,case_id,final_state,reason_code,root_category,decision_status,explanation
legacy_t03_error,1514722,rejected,step6_step3_two_node_bridge_not_realizable_in_frozen_allowed_space,frozen_space_bridge_unrealizable,pending_visual_review,两目标节点之间无法在 Step3 冻结合法空间内构造受约束连通面
legacy_t03_error,1881692,rejected,step6_step3_two_node_bridge_not_realizable_in_frozen_allowed_space,frozen_space_bridge_unrealizable,pending_visual_review,两目标节点之间无法在 Step3 冻结合法空间内构造受约束连通面
legacy_t03_error,12777955,rejected,association_support_ownership_unresolved,support_ownership_unresolved,disputed_conservative_reject,关联 RCSDRoad 属于相邻路口且当前证据不能建立唯一 ownership
legacy_t03_error,53679574,rejected,step6_input_geometry_invalid_blocks_constraint_validation,input_geometry_invalid,explicit_data_block,原始 DriveZone 含无效几何且无法证明合法化不改变拓扑语义
legacy_t03_error,74421922,rejected,step6_complex_nonunique_anchor_topology,complex_nonunique_anchor,user_confirmed_conservative_reject,复杂路口存在多个不可唯一化的锚定拓扑
legacy_t03_error,507831701,rejected,association_support_ownership_unresolved,support_ownership_unresolved,user_confirmed_conservative_reject,支持 Road 无法唯一归属于当前 SWSD 路口
legacy_t03_error,520394575,rejected,association_raw_multi_component_unmatched_support,reality_or_precision_difference,user_confirmed_quality_signal,raw FRCSD 存在未被目标锚点解释的独立支持分量
legacy_t03_error,520691911,rejected,step6_step3_two_node_bridge_not_realizable_in_frozen_allowed_space,frozen_space_bridge_unrealizable,pending_visual_review,两目标节点之间无法在 Step3 冻结合法空间内构造受约束连通面
legacy_t03_error,522008569,rejected,association_support_ownership_unresolved,required_junction_topology_incomplete,user_confirmed_quality_signal,旧快照缺少当前快照 raw core 证据但 ownership 仍无法唯一成立
legacy_t03_error,522806716,rejected,association_raw_compact_alias_directional_terminal_mismatch,merge_only_terminal_collapse,user_confirmed_quality_signal,紧凑 alias 组在严格 Direction 下形成仅汇入无汇出的单侧终端
legacy_t03_error,620658564,rejected,step6_input_geometry_invalid_blocks_constraint_validation,input_geometry_invalid,explicit_data_block,原始 DriveZone 含无效几何且无法证明合法化不改变拓扑语义
legacy_t03_error,622700016,rejected,association_raw_multi_component_unmatched_support,reality_or_precision_difference,user_confirmed_quality_signal,raw FRCSD 存在未被目标锚点解释的独立支持分量
